,model,precision,recall,F1,accuracy
0,RandomForestClassifier CV,0.46412453953497457,0.12218538472164664,0.1933402480562426,0.8194423424833872
0,XGBoost Classifier CV,0.4173922166721258,0.16885619560712806,0.24010508390337473,0.8107004314093866
